         2000     0.01000           2     4.00000
            0     1.20000     1.20000     1.20000
     1.1400       0.00000    -50.75699    -50.57556    -50.40636
     1.1500       0.00000    -50.23208    -50.12133    -50.01592
     1.1600       0.00000    -49.73798    -49.67822    -49.62023
     1.1700       0.00000    -49.27245    -49.24591    -49.21967
     1.1800       0.00000    -48.83209    -48.82382    -48.81549
     1.1900       0.00000    -48.41219    -48.41110    -48.40999
     1.2000       0.00000    -48.00661    -48.00661    -48.00661
     1.2100       0.00000    -47.60909    -47.60909    -47.60909
     1.2200       0.00000    -47.21816    -47.21816    -47.21816
     1.2300       0.00000    -46.83365    -46.83365    -46.83365
     1.2400       0.00000    -46.45539    -46.45539    -46.45539
     1.2500       0.00000    -46.08323    -46.08323    -46.08323
     1.2600       0.00000    -45.71703    -45.71703    -45.71703
     1.2700       0.00000    -45.35662    -45.35662    -45.35662
     1.2800       0.00000    -45.00189    -45.00189    -45.00189
     1.2900       0.00000    -44.65269    -44.65269    -44.65269
     1.3000       0.00000    -44.30889    -44.30889    -44.30889
     1.3100       0.00000    -43.97037    -43.97037    -43.97037
     1.3200       0.00000    -43.63700    -43.63700    -43.63700
     1.3300       0.00000    -43.30867    -43.30867    -43.30867
     1.3400       0.00000    -42.98526    -42.98526    -42.98526
     1.3500       0.00000    -42.66665    -42.66665    -42.66665
     1.3600       0.00000    -42.35275    -42.35275    -42.35275
     1.3700       0.00000    -42.04345    -42.04345    -42.04345
     1.3800       0.00000    -41.73864    -41.73864    -41.73864
     1.3900       0.00000    -41.43823    -41.43823    -41.43823
     1.4000       0.00000    -41.14212    -41.14212    -41.14212
     1.4100       0.00000    -40.85022    -40.85022    -40.85022
     1.4200       0.00000    -40.56244    -40.56244    -40.56244
     1.4300       0.00000    -40.27870    -40.27870    -40.27870
     1.4400       0.00000    -39.99890    -39.99890    -39.99890
     1.4500       0.00000    -39.72297    -39.72297    -39.72297
     1.4600       0.00000    -39.45083    -39.45083    -39.45083
     1.4700       0.00000    -39.18240    -39.18240    -39.18240
     1.4800       0.00000    -38.91759    -38.91759    -38.91759
     1.4900       0.00000    -38.65635    -38.65635    -38.65635
     1.5000       0.00000    -38.39860    -38.39860    -38.39860
     1.5100       0.00000    -38.14426    -38.14426    -38.14426
     1.5200       0.00000    -37.89327    -37.89327    -37.89327
     1.5300       0.00000    -37.64557    -37.64557    -37.64557
     1.5400       0.00000    -37.40108    -37.40108    -37.40108
     1.5500       0.00000    -37.15976    -37.15976    -37.15976
     1.5600       0.00000    -36.92153    -36.92153    -36.92153
     1.5700       0.00000    -36.68634    -36.68634    -36.68634
     1.5800       0.00000    -36.45412    -36.45412    -36.45412
     1.5900       0.00000    -36.22483    -36.22483    -36.22483
     1.6000       0.00000    -35.99841    -35.99841    -35.99841
     1.6100       0.00000    -35.77480    -35.77480    -35.77480
     1.6200       0.00000    -35.55395    -35.55395    -35.55395
     1.6300       0.00000    -35.33582    -35.33582    -35.33582
     1.6400       0.00000    -35.12034    -35.12034    -35.12034
     1.6500       0.00000    -34.90748    -34.90748    -34.90748
     1.6600       0.00000    -34.69719    -34.69719    -34.69719
     1.6700       0.00000    -34.48941    -34.48941    -34.48941
     1.6800       0.00000    -34.28411    -34.28411    -34.28411
     1.6900       0.00000    -34.08124    -34.08124    -34.08124
     1.7000       0.00000    -33.88075    -33.88075    -33.88075
     1.7100       0.00000    -33.68261    -33.68261    -33.68261
     1.7200       0.00000    -33.48678    -33.48678    -33.48678
     1.7300       0.00000    -33.29321    -33.29321    -33.29321
     1.7400       0.00000    -33.10187    -33.10187    -33.10187
     1.7500       0.00000    -32.91271    -32.91271    -32.91271
     1.7600       0.00000    -32.72570    -32.72570    -32.72570
     1.7700       0.00000    -32.54081    -32.54081    -32.54081
     1.7800       0.00000    -32.35799    -32.35799    -32.35799
     1.7900       0.00000    -32.17722    -32.17722    -32.17722
     1.8000       0.00000    -31.99845    -31.99845    -31.99845
     1.8100       0.00000    -31.82167    -31.82167    -31.82167
     1.8200       0.00000    -31.64682    -31.64682    -31.64682
     1.8300       0.00000    -31.47389    -31.47389    -31.47389
     1.8400       0.00000    -31.30283    -31.30283    -31.30283
     1.8500       0.00000    -31.13363    -31.13363    -31.13363
     1.8600       0.00000    -30.96624    -30.96624    -30.96624
     1.8700       0.00000    -30.80064    -30.80064    -30.80064
     1.8800       0.00000    -30.63681    -30.63681    -30.63681
     1.8900       0.00000    -30.47471    -30.47471    -30.47471
     1.9000       0.00000    -30.31432    -30.31432    -30.31432
     1.9100       0.00000    -30.15560    -30.15560    -30.15560
     1.9200       0.00000    -29.99854    -29.99854    -29.99854
     1.9300       0.00000    -29.84311    -29.84311    -29.84311
     1.9400       0.00000    -29.68928    -29.68928    -29.68928
     1.9500       0.00000    -29.53703    -29.53703    -29.53703
     1.9600       0.00000    -29.38633    -29.38633    -29.38633
     1.9700       0.00000    -29.23716    -29.23716    -29.23716
     1.9800       0.00000    -29.08950    -29.08950    -29.08950
     1.9900       0.00000    -28.94332    -28.94332    -28.94332
     2.0000       0.00000    -28.79861    -28.79861    -28.79861
     2.0100       0.00000    -28.65533    -28.65533    -28.65533
     2.0200       0.00000    -28.51347    -28.51347    -28.51347
     2.0300       0.00000    -28.37301    -28.37301    -28.37301
     2.0400       0.00000    -28.23393    -28.23393    -28.23393
     2.0500       0.00000    -28.09620    -28.09620    -28.09620
     2.0600       0.00000    -27.95982    -27.95982    -27.95982
     2.0700       0.00000    -27.82475    -27.82475    -27.82475
     2.0800       0.00000    -27.69097    -27.69097    -27.69097
     2.0900       0.00000    -27.55848    -27.55848    -27.55848
     2.1000       0.00000    -27.42725    -27.42725    -27.42725
     2.1100       0.00000    -27.29727    -27.29727    -27.29727
     2.1200       0.00000    -27.16851    -27.16851    -27.16851
     2.1300       0.00000    -27.04095    -27.04095    -27.04095
     2.1400       0.00000    -26.91460    -26.91460    -26.91460
     2.1500       0.00000    -26.78941    -26.78941    -26.78941
     2.1600       0.00000    -26.66539    -26.66539    -26.66539
     2.1700       0.00000    -26.54251    -26.54251    -26.54251
     2.1800       0.00000    -26.42075    -26.42075    -26.42075
     2.1900       0.00000    -26.30011    -26.30011    -26.30011
     2.2000       0.00000    -26.18057    -26.18057    -26.18057
     2.2100       0.00000    -26.06210    -26.06210    -26.06210
     2.2200       0.00000    -25.94471    -25.94471    -25.94471
     2.2300       0.00000    -25.82836    -25.82836    -25.82836
     2.2400       0.00000    -25.71306    -25.71306    -25.71306
     2.2500       0.00000    -25.59878    -25.59878    -25.59878
     2.2600       0.00000    -25.48551    -25.48551    -25.48551
     2.2700       0.00000    -25.37324    -25.37324    -25.37324
     2.2800       0.00000    -25.26196    -25.26196    -25.26196
     2.2900       0.00000    -25.15164    -25.15164    -25.15164
     2.3000       0.00000    -25.04229    -25.04229    -25.04229
     2.3100       0.00000    -24.93388    -24.93388    -24.93388
     2.3200       0.00000    -24.82641    -24.82641    -24.82641
     2.3300       0.00000    -24.71986    -24.71986    -24.71986
     2.3400       0.00000    -24.61422    -24.61422    -24.61422
     2.3500       0.00000    -24.50948    -24.50948    -24.50948
     2.3600       0.00000    -24.40563    -24.40563    -24.40563
     2.3700       0.00000    -24.30265    -24.30265    -24.30265
     2.3800       0.00000    -24.20054    -24.20054    -24.20054
     2.3900       0.00000    -24.09928    -24.09928    -24.09928
     2.4000       0.00000    -23.99887    -23.99887    -23.99887
     2.4100       0.00000    -23.89929    -23.89929    -23.89929
     2.4200       0.00000    -23.80053    -23.80053    -23.80053
     2.4300       0.00000    -23.70259    -23.70259    -23.70259
     2.4400       0.00000    -23.60545    -23.60545    -23.60545
     2.4500       0.00000    -23.50910    -23.50910    -23.50910
     2.4600       0.00000    -23.41353    -23.41353    -23.41353
     2.4700       0.00000    -23.31874    -23.31874    -23.31874
     2.4800       0.00000    -23.22472    -23.22472    -23.22472
     2.4900       0.00000    -23.13144    -23.13144    -23.13144
     2.5000       0.00000    -23.03892    -23.03892    -23.03892
     2.5100       0.00000    -22.94713    -22.94713    -22.94713
     2.5200       0.00000    -22.85607    -22.85607    -22.85607
     2.5300       0.00000    -22.76573    -22.76573    -22.76573
     2.5400       0.00000    -22.67610    -22.67610    -22.67610
     2.5500       0.00000    -22.58718    -22.58718    -22.58718
     2.5600       0.00000    -22.49895    -22.49895    -22.49895
     2.5700       0.00000    -22.41140    -22.41140    -22.41140
     2.5800       0.00000    -22.32454    -22.32454    -22.32454
     2.5900       0.00000    -22.23834    -22.23834    -22.23834
     2.6000       0.00000    -22.15281    -22.15281    -22.15281
     2.6100       0.00000    -22.06794    -22.06794    -22.06794
     2.6200       0.00000    -21.98371    -21.98371    -21.98371
     2.6300       0.00000    -21.90012    -21.90012    -21.90012
     2.6400       0.00000    -21.81717    -21.81717    -21.81717
     2.6500       0.00000    -21.73484    -21.73484    -21.73484
     2.6600       0.00000    -21.65313    -21.65313    -21.65313
     2.6700       0.00000    -21.57203    -21.57203    -21.57203
     2.6800       0.00000    -21.49154    -21.49154    -21.49154
     2.6900       0.00000    -21.41164    -21.41164    -21.41164
     2.7000       0.00000    -21.33234    -21.33234    -21.33234
     2.7100       0.00000    -21.25363    -21.25363    -21.25363
     2.7200       0.00000    -21.17549    -21.17549    -21.17549
     2.7300       0.00000    -21.09792    -21.09792    -21.09792
     2.7400       0.00000    -21.02092    -21.02092    -21.02092
     2.7500       0.00000    -20.94448    -20.94448    -20.94448
     2.7600       0.00000    -20.86860    -20.86860    -20.86860
     2.7700       0.00000    -20.79326    -20.79326    -20.79326
     2.7800       0.00000    -20.71847    -20.71847    -20.71847
     2.7900       0.00000    -20.64421    -20.64421    -20.64421
     2.8000       0.00000    -20.57048    -20.57048    -20.57048
     2.8100       0.00000    -20.49727    -20.49727    -20.49727
     2.8200       0.00000    -20.42459    -20.42459    -20.42459
     2.8300       0.00000    -20.35242    -20.35242    -20.35242
     2.8400       0.00000    -20.28075    -20.28075    -20.28075
     2.8500       0.00000    -20.20959    -20.20959    -20.20959
     2.8600       0.00000    -20.13893    -20.13893    -20.13893
     2.8700       0.00000    -20.06876    -20.06876    -20.06876
     2.8800       0.00000    -19.99908    -19.99908    -19.99908
     2.8900       0.00000    -19.92988    -19.92988    -19.92988
     2.9000       0.00000    -19.86115    -19.86115    -19.86115
     2.9100       0.00000    -19.79290    -19.79290    -19.79290
     2.9200       0.00000    -19.72512    -19.72512    -19.72512
     2.9300       0.00000    -19.65780    -19.65780    -19.65780
     2.9400       0.00000    -19.59094    -19.59094    -19.59094
     2.9500       0.00000    -19.52453    -19.52453    -19.52453
     2.9600       0.00000    -19.45856    -19.45856    -19.45856
     2.9700       0.00000    -19.39305    -19.39305    -19.39305
     2.9800       0.00000    -19.32797    -19.32797    -19.32797
     2.9900       0.00000    -19.26333    -19.26333    -19.26333
     3.0000       0.00000    -19.19912    -19.19912    -19.19912
     3.0100       0.00000    -19.13533    -19.13533    -19.13533
     3.0200       0.00000    -19.07197    -19.07197    -19.07197
     3.0300       0.00000    -19.00903    -19.00903    -19.00903
     3.0400       0.00000    -18.94650    -18.94650    -18.94650
     3.0500       0.00000    -18.88438    -18.88438    -18.88438
     3.0600       0.00000    -18.82267    -18.82267    -18.82267
     3.0700       0.00000    -18.76136    -18.76136    -18.76136
     3.0800       0.00000    -18.70044    -18.70044    -18.70044
     3.0900       0.00000    -18.63992    -18.63992    -18.63992
     3.1000       0.00000    -18.57979    -18.57979    -18.57979
     3.1100       0.00000    -18.52005    -18.52005    -18.52005
     3.1200       0.00000    -18.46069    -18.46069    -18.46069
     3.1300       0.00000    -18.40171    -18.40171    -18.40171
     3.1400       0.00000    -18.34311    -18.34311    -18.34311
     3.1500       0.00000    -18.28488    -18.28488    -18.28488
     3.1600       0.00000    -18.22701    -18.22701    -18.22701
     3.1700       0.00000    -18.16952    -18.16952    -18.16952
     3.1800       0.00000    -18.11238    -18.11238    -18.11238
     3.1900       0.00000    -18.05560    -18.05560    -18.05560
     3.2000       0.00000    -17.99918    -17.99918    -17.99918
     3.2100       0.00000    -17.94311    -17.94311    -17.94311
     3.2200       0.00000    -17.88738    -17.88738    -17.88738
     3.2300       0.00000    -17.83200    -17.83200    -17.83200
     3.2400       0.00000    -17.77697    -17.77697    -17.77697
     3.2500       0.00000    -17.72227    -17.72227    -17.72227
     3.2600       0.00000    -17.66791    -17.66791    -17.66791
     3.2700       0.00000    -17.61388    -17.61388    -17.61388
     3.2800       0.00000    -17.56018    -17.56018    -17.56018
     3.2900       0.00000    -17.50680    -17.50680    -17.50680
     3.3000       0.00000    -17.45375    -17.45375    -17.45375
     3.3100       0.00000    -17.40102    -17.40102    -17.40102
     3.3200       0.00000    -17.34861    -17.34861    -17.34861
     3.3300       0.00000    -17.29651    -17.29651    -17.29651
     3.3400       0.00000    -17.24472    -17.24472    -17.24472
     3.3500       0.00000    -17.19325    -17.19325    -17.19325
     3.3600       0.00000    -17.14208    -17.14208    -17.14208
     3.3700       0.00000    -17.09121    -17.09121    -17.09121
     3.3800       0.00000    -17.04064    -17.04064    -17.04064
     3.3900       0.00000    -16.99038    -16.99038    -16.99038
     3.4000       0.00000    -16.94041    -16.94041    -16.94041
     3.4100       0.00000    -16.89073    -16.89073    -16.89073
     3.4200       0.00000    -16.84134    -16.84134    -16.84134
     3.4300       0.00000    -16.79224    -16.79224    -16.79224
     3.4400       0.00000    -16.74343    -16.74343    -16.74343
     3.4500       0.00000    -16.69489    -16.69489    -16.69489
     3.4600       0.00000    -16.64664    -16.64664    -16.64664
     3.4700       0.00000    -16.59867    -16.59867    -16.59867
     3.4800       0.00000    -16.55097    -16.55097    -16.55097
     3.4900       0.00000    -16.50355    -16.50355    -16.50355
     3.5000       0.00000    -16.45640    -16.45640    -16.45640
     3.5100       0.00000    -16.40951    -16.40951    -16.40951
     3.5200       0.00000    -16.36289    -16.36289    -16.36289
     3.5300       0.00000    -16.31654    -16.31654    -16.31654
